iter	Passed	Remaining
692	19454	8618
693	19480	8589
694	19515	8564
695	19547	8538
696	19574	8509
697	19601	8480
698	19626	8451
699	19681	8434
700	19708	8406
701	19734	8377
702	19758	8347
703	19784	8318
704	19807	8288
705	19831	8258
706	19854	8228
707	19879	8198
708	19905	8170
709	19935	8142
710	19975	8119
711	20014	8095
712	20049	8070
713	20101	8051
714	20139	8027
715	20169	8000
716	20199	7972
717	20227	7944
718	20259	7917
719	20284	7888
720	20310	7859
721	20335	7829
722	20378	7807
723	20407	7779
724	20435	7751
725	20460	7721
726	20485	7692
727	20510	7663
728	20534	7633
729	20556	7603
730	20580	7573
731	20607	7544
732	20632	7515
733	20657	7486
734	20683	7457
735	20708	7428
736	20734	7399
737	20757	7369
738	20779	7338
739	20801	7308
740	20827	7279
741	20851	7250
742	20876	7221
743	20903	7192
744	20925	7162
745	20950	7133
746	20975	7104
747	20999	7074
748	21024	7045
749	21051	7017
750	21077	6988
751	21102	6959
752	21127	6930
753	21152	6901
754	21176	6871
755	21198	6841
756	21223	6812
757	21249	6784
758	21275	6755
759	21298	6725
760	21324	6697
761	21351	6668
762	21376	6639
763	21415	6615
764	21442	6586
765	21470	6558
766	21497	6530
767	21523	6501
768	21549	6473
769	21574	6444
770	21599	6415
771	21622	6385
772	21644	6356
773	21670	6327
774	21696	6299
775	21721	6270
776	21749	6242
777	21774	6213
778	21800	6184
779	21826	6156
780	21850	6126
781	21879	6099
782	21907	6071
783	21934	6043
784	21994	6023
785	22052	6004
786	22080	5976
787	22107	5947
788	22135	5919
789	22160	5890
790	22185	5861
791	22210	5833
792	22237	5804
793	22262	5775
794	22286	5746
795	22311	5718
796	22337	5689
797	22362	5660
798	22389	5632
799	22418	5604
800	22665	5631
801	22689	5601
802	22714	5572
803	22739	5543
804	22765	5514
805	22788	5485
806	22812	5455
807	22836	5426
808	22857	5396
809	22882	5367
810	22906	5338
811	22929	5308
812	22954	5279
813	22978	5250
814	23000	5220
815	23021	5191
816	23045	5161
817	23068	5132
818	23093	5103
819	23120	5075
820	23147	5046
821	23179	5019
822	23206	4990
823	23231	4961
824	23261	4934
825	23286	4905
826	23324	4879
827	23349	4850
828	23377	4822
829	23406	4794
830	23433	4765
831	23460	4737
832	23487	4708
833	23527	4682
834	23552	4654
835	23577	4625
836	23604	4596
837	23628	4567
838	23655	4539
839	23708	4515
840	23735	4487
841	23760	4458
842	23786	4429
843	23813	4401
844	23840	4373
845	23871	4345
846	23895	4316
847	23923	4288
848	23951	4259
849	23976	4231
850	24002	4202
851	24030	4174
852	24059	4146
853	24085	4117
854	24109	4088
855	24134	4059
856	24163	4031
857	24213	4007
858	24238	3978
859	24265	3950
860	24293	3921
861	24349	3898
862	24372	3869
863	24398	3840
864	24423	3811
865	24453	3783
866	24478	3755
867	24503	3726
868	24527	3697
869	24551	3668
870	24575	3639
871	24598	3610
872	24621	3581
873	24644	3552
874	24671	3524
875	24723	3499
876	24751	3471
877	24780	3443
878	24804	3414
879	24830	3385
880	24853	3357
881	24879	3328
882	24903	3299
883	24930	3271
884	24956	3242
885	24983	3214
886	25030	3188
887	25057	3160
888	25080	3131
889	25109	3103
890	25134	3074
891	25160	3046
892	25186	3017
893	25215	2989
894	25247	2961
895	25277	2934
896	25304	2905
897	25332	2877
898	25360	2849
899	25389	2821
900	25416	2792
901	25442	2764
902	25471	2736
903	25501	2708
904	25530	2680
905	25559	2651
906	25588	2623
907	25615	2595
908	25644	2567
909	25674	2539
910	25708	2511
911	25767	2486
912	25797	2458
913	25826	2430
914	25853	2401
915	25879	2373
916	25906	2344
917	25931	2316
918	25958	2288
919	25990	2260
920	26017	2231
921	26042	2203
922	26068	2174
923	26111	2147
924	26137	2119
925	26165	2090
926	26193	2062
927	26216	2034
928	26241	2005
929	26266	1977
930	26290	1948
931	26324	1920
932	26352	1892
933	26381	1864
934	26411	1836
935	26437	1807
936	26462	1779
937	26489	1750
938	26514	1722
939	26539	1694
940	26563	1665
941	26587	1637
942	26611	1608
943	26638	1580
944	26664	1551
945	26690	1523
946	26717	1495
947	26745	1467
948	26795	1440
949	26852	1413
950	26879	1384
951	26906	1356
952	26933	1328
953	26961	1300
954	27007	1272
955	27034	1244
956	27060	1215
957	27084	1187
958	27107	1158
959	27133	1130
960	27162	1102
961	27191	1074
962	27218	1045
963	27245	1017
964	27274	989
965	27301	960
966	27332	932
967	27361	904
968	27393	876
969	27419	848
970	27445	819
971	27471	791
972	27498	763
973	27525	734
974	27550	706
975	27576	678
976	27602	649
977	27624	621
978	27651	593
979	27674	564
980	27699	536
981	27727	508
982	27752	479
983	27779	451
984	27835	423
985	27860	395
986	27884	367
987	27907	338
988	27934	310
989	27977	282
990	28001	254
991	28025	226
992	28049	197
993	28074	169
994	28099	141
995	28123	112
996	28147	84
997	28170	56
998	28196	28
999	28220	0
